ID_Article,Title,Corps_Textee,URL_Source,Nb_Partages,Etiquette
1,New Park Opens in City 77,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,186,Real
2,SHOCKING REVELATION!!! 79,This is a shocking revelation that they don't want you to know...,clickme.xyz,450,Fake
3,SHOCKING REVELATION!!! 9,This is a shocking revelation that they don't want you to know...,dailybuzz.net,13048,Fake
4,Election Results Announced 10,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",bbc.com,1967,Real
5,New Park Opens in City 2,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,315,Real
6,Election Results Announced 43,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,650,Real
7,Economy Grows by 2% 5,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,2092,Real
8,Election Results Announced 52,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",bbc.com,823,Real
9,Scientists Discover New Species 24,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",bbc.com,1147,Real
10,Economy Grows by 2% 81,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,351,Real
